iter	RMSE
0	3657.354487
1	3316.907979
2	3009.358945
3	2735.578516
4	2488.589495
5	2265.83977
6	2068.597162
7	1890.769279
8	1730.889877
9	1588.429002
10	1462.361619
11	1349.924509
12	1250.185927
13	1162.044075
14	1084.096657
15	1016.581739
16	957.4171375
17	906.0478508
18	860.9100975
19	821.9120163
20	788.9988224
21	759.8006321
22	734.3808374
23	712.1766906
24	692.8982207
25	677.1130836
26	663.006628
27	651.6011385
28	641.1962028
29	632.2003453
30	625.2717281
31	618.7022226
32	613.3400397
33	608.4050793
34	604.3983594
35	600.7245352
36	597.8612829
37	595.1058197
38	592.7330247
39	590.8002671
40	588.8620658
41	587.1670387
42	585.8787637
43	584.6520218
44	583.4369851
45	582.2696162
46	581.3037005
47	580.5225925
48	579.5477822
49	578.8984781
50	578.1971658
51	577.4065967
52	576.7760518
53	576.0948335
54	575.5806726
55	575.0924288
56	574.5780852
57	574.1290133
58	573.6383044
59	572.9918401
60	572.6605308
61	572.3250731
62	571.9427133
63	571.547921
64	571.2297753
65	570.8871835
66	570.4910031
67	570.1439097
68	569.8730222
69	569.7184799
70	569.2178624
71	568.9039781
72	568.7479125
73	568.5552621
74	568.2198106
75	567.9831433
76	567.7368328
77	567.5976272
78	567.2045386
79	566.8795201
80	566.6130745
81	566.3316124
82	566.0875089
83	565.8743746
84	565.5557552
85	565.4213429
86	565.1068246
87	564.9508785
88	564.7904983
89	564.561568
90	564.3393559
91	564.0559032
92	563.7239914
93	563.4631116
94	563.2668577
95	563.0914185
96	562.9048105
97	562.7686402
98	562.5717307
99	562.2446197
