iter	Passed	Remaining
0	58	35039
1	100	30102
2	141	28179
3	182	27127
4	221	26311
5	259	25725
6	300	25431
7	340	25221
8	385	25335
9	428	25288
10	468	25101
11	507	24881
12	547	24708
13	586	24556
14	623	24332
15	664	24251
16	702	24095
17	742	24022
18	785	24013
19	830	24079
20	877	24185
21	920	24187
22	972	24396
23	1017	24427
24	1058	24337
25	1098	24254
26	1147	24359
27	1231	25153
28	1313	25866
29	1389	26396
30	1450	26630
31	1505	26719
32	1554	26702
33	1600	26651
34	1644	26543
35	1683	26375
36	1722	26208
37	1762	26064
38	1801	25919
39	1841	25780
40	1880	25639
41	1919	25504
42	1959	25383
43	1997	25246
44	2038	25136
45	2081	25072
46	2124	24991
47	2165	24906
48	2208	24830
49	2252	24775
50	2314	24916
51	2364	24916
52	2412	24902
53	2456	24841
54	2504	24818
55	2555	24828
56	2605	24822
57	2655	24812
58	2700	24758
59	2746	24715
60	2790	24659
61	2830	24560
62	2873	24489
63	2917	24432
64	2958	24349
65	2999	24272
66	3042	24206
67	3087	24154
68	3128	24075
69	3171	24009
70	3212	23936
71	3255	23873
72	3297	23804
73	3340	23746
74	3381	23669
75	3422	23599
76	3462	23521
77	3502	23442
78	3542	23360
79	3581	23278
80	3619	23194
81	3659	23114
82	3697	23031
83	3736	22952
84	3774	22867
85	3817	22815
86	3861	22769
87	3908	22742
88	3965	22768
89	4026	22819
90	4077	22807
91	4129	22799
92	4216	22988
93	4318	23243
94	4412	23457
95	4492	23585
96	4554	23618
97	4608	23608
98	4659	23582
99	4709	23545
100	4754	23490
101	4799	23433
102	4844	23376
103	4889	23321
104	4936	23270
105	4987	23241
106	5036	23205
107	5083	23159
108	5131	23113
109	5176	23059
110	5222	23008
111	5267	22953
112	5312	22893
113	5354	22826
114	5404	22792
115	5450	22743
116	5497	22693
117	5542	22639
118	5587	22584
119	5630	22523
120	5674	22462
121	5718	22404
122	5762	22345
123	5807	22294
124	5856	22256
125	5903	22208
126	5965	22216
127	6016	22185
128	6070	22164
129	6124	22142
130	6170	22090
131	6213	22028
132	6278	22045
133	6338	22041
134	6403	22054
135	6459	22038
136	6506	21989
137	6557	21953
